Region,Subregion,Stock,Group,Name,EnglishName,ScientificName,Source,MinOfYear,MaxOfYear,StartYear,EndYear,Flim,Fpa,Blim,Bpa,Bmsy,FMSY,MSY,MSYBtrigger,B40,M,Fofl,last_F,Resilience,r.low,r.hi,stb.low,stb.hi,int.yr,intb.low,intb.hi,endb.low,endb.hi,q.start,q.end,e.creep,btype,force.cmsy,Comment
Adriatic,Adriatic,HKE_17_18,Fish,Hake,European hake,Merluccius merluccius,STECF data,1998,2020,1998,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.350704131,0.797054842,0.01,0.4,NA,NA,NA,0.01,0.4,NA,NA,F,CPUE,F,
Adriatic,Adriatic,DPS_17_18_19,Crustacean,Pink shrimp,Deep water pink shrimp,Parapenaeus longirostris,STECF data,2002,2020,2002,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0.679790205,1.544977739,0.01,0.4,NA,NA,NA,0.2,0.6,NA,NA,F,CPUE,F,
Adriatic,Adriatic,MUT_17_18,Fish,Red mullet,Red mullet,Mullus barbatus,STECF data,2006,2020,2006,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.422092259,1.044865966,0.01,0.4,NA,NA,NA,0.01,0.4,NA,NA,F,CPUE,F,
Adriatic,Adriatic,SOL_17,Fish,Common sole,Common sole,Solea solea,STECF data,1958,2020,1958,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.33373493,0.758488476,0.4,0.8,NA,NA,NA,0.01,0.4,NA,NA,F,CPUE,F,
Adriatic,Adriatic,MTS_17,Crustacean,Mantis shrimp,Mantis shrimp,Squilla mantis,STECF data,1953,2020,1953,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.367689854,0.835658759,0.2,0.6,NA,NA,NA,0.01,0.4,NA,NA,F,CPUE,F,
Mediterranean Sea,North Adriatic Sea,CTC_17,Benthic fish & inv.,Sepia_officinalis,Common cuttlefish,Sepia officinalis,GFCM,1974,2020,1974,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.37,0.84,0.4,0.8,2007,0.1,0.5,0.05,0.4,NA,NA,F,CPUE,F,
Adriatic,Adriatic,ANE_17_18,Fish,Anchovy,Anchovy,Engraulis encrasicolous,GFCM,2000,2020,2000,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.38999176,0.907418668,0.01,0.4,NA,NA,NA,0.01,0.4,NA,NA,F,CPUE,F,
Adriatic,Adriatic,PIL_17_18,Fish,Sardine,Sardine,Sardina pilchardus,GFCM,2000,2020,2000,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.395863057,0.899688765,0.01,0.4,NA,NA,NA,0.01,0.4,NA,NA,F,CPUE,F,
