"specie","mediaBBmsy","LCI_BB","UCI_BB"
"ANE_17_18","0.0678","0.0600","0.0757"
"CTC_17","-0.0543","-0.0600","-0.0490"
"DPS_17_18_19","-0.1047","-0.1122","-0.0972"
"HKE_17_18","0.0174","0.0140","0.0209"
"MTS_17","0.0101","0.0043","0.0162"
"MUT_17_18","0.0087","0.0035","0.0136"
"PIL_17_18","0.0148","0.0083","0.0212"
"SOL_17","0.0174","0.0134","0.0211"
