"year","species","BBmsy","FFmsy"
2020,"MTS_17",0.866436621471397,0.667859097033473
2020,"MTS_17",0.800443946238806,0.802358932330607
2020,"MTS_17",0.720979598306664,0.904673474988312
2020,"MTS_17",0.601465819039281,1.23873698305761
2020,"MTS_17",0.882595546951662,0.904085533649819
2020,"MTS_17",0.738406127911845,0.888122291884567
2020,"MTS_17",0.786829868765701,0.892349652708402
2020,"MTS_17",0.837969329092165,0.863813334973061
2020,"MTS_17",0.809879733560902,0.78444423279236
2020,"MTS_17",0.846167148814986,0.883880244642805
2020,"MTS_17",0.790853128267787,1.03328933062455
2020,"MTS_17",0.924511108274504,0.884043797805403
2020,"MTS_17",0.961911234369277,0.547160324046472
2020,"MTS_17",0.718714216210254,0.828671861939846
2020,"MTS_17",0.929539493727852,0.657447389607597
2020,"MTS_17",0.770047386584928,1.00320256533777
2020,"MTS_17",0.970880324329746,0.710360489815869
2020,"MTS_17",0.696062507224619,0.778818073654334
2020,"MTS_17",0.840109328971606,0.737628606294718
2020,"MTS_17",0.979825065764291,0.688794730780622
2020,"MTS_17",0.90894367288923,0.693442274518777
2020,"MTS_17",1.09594052428214,0.514826717998866
2020,"MTS_17",0.90574723490963,0.724060533855143
2020,"MTS_17",0.504908442578152,1.79682259891883
2020,"MTS_17",0.548781395026209,1.07336181521501
2020,"MTS_17",0.750664481536113,0.798225014457515
2020,"MTS_17",0.933030170186869,0.719642970950946
2020,"MTS_17",0.803758437090465,0.685583715497774
2020,"MTS_17",0.922707407708125,0.817418382103714
2020,"MTS_17",0.736418633305635,0.801633466443422
2020,"MTS_17",0.919335432825509,0.858247602300322
2020,"MTS_17",0.97377574867633,0.602929567458472
2020,"MTS_17",0.949650469164202,0.781018282602115
2020,"MTS_17",0.651440773999796,1.17446324328924
2020,"MTS_17",0.588010205997796,1.23214809860258
2020,"MTS_17",0.899566582300901,0.765094645638219
2020,"MTS_17",0.861880938354284,0.721394308120753
2020,"MTS_17",1.02326092190411,0.78038639590485
2020,"MTS_17",0.61738118307572,1.49406735560876
2020,"MTS_17",0.912844484375947,0.565203685430709
2020,"MTS_17",0.81463700229172,1.09093384202965
2020,"MTS_17",0.699210528437829,1.33765971706093
2020,"MTS_17",0.889854061795235,0.682978091004931
2020,"MTS_17",0.819911319069939,1.09409681824395
2020,"MTS_17",0.493077905041418,1.55484483893427
2020,"MTS_17",0.962148797145402,0.698772363704161
2020,"MTS_17",0.860149749630257,0.732615384356608
2020,"MTS_17",0.831837232440489,0.904019839952296
2020,"MTS_17",0.696768614039605,0.906706346857362
2020,"MTS_17",0.845294075261502,0.630004795227118
2020,"MTS_17",0.893603586979852,0.890466677004417
2020,"MTS_17",0.800218370680403,0.755580561542009
2020,"MTS_17",0.774667240916839,0.548655259594819
2020,"MTS_17",0.743748179747313,0.952211573482257
2020,"MTS_17",1.04881183635137,0.934254413416609
2020,"MTS_17",0.820561449574552,1.00793194112824
2020,"MTS_17",0.758322902280793,0.823696974650325
2020,"MTS_17",0.524689887234478,1.49626748439381
2020,"MTS_17",0.796721992759259,0.900430800771806
2020,"MTS_17",0.922087244323209,0.760767724478603
2020,"MTS_17",0.773317226134176,0.836346145349936
2020,"MTS_17",0.82177036987964,0.673463634842631
2020,"MTS_17",0.859672159457603,0.751715748425987
2020,"MTS_17",0.855595659930481,0.726366463228594
2020,"MTS_17",0.857629210156503,0.855597417793654
2020,"MTS_17",0.969472261024846,0.794984997473575
2020,"MTS_17",0.825577399538345,0.880867488935466
2020,"MTS_17",0.871454738176401,1.09657462894753
2020,"MTS_17",0.476370965282644,1.02064909062867
2020,"MTS_17",0.932461183475694,0.707691150607195
2020,"MTS_17",0.842612122259247,0.709229299530208
2020,"MTS_17",1.0277326376588,0.56722641701433
