"Group","Region","Subregion","Name","SciName","Stock","start.yr","end.yr","start.yr.new","btype","endbio.low","endbio.hi","MaxCatch","LastCatch","MSY_BSM","lcl","ucl","r_BSM","lcl","ucl","log_var","k_BSM","lcl","ucl","log_var","log_rk_cor","log_rk_cov","q_BSM","lcl","ucl","rel_B_BSM","lcl","ucl","rel_F_BSM","r_CMSY","lcl","ucl","k_CMSY","lcl","ucl","MSY_CMSY","lcl","ucl","rel_B_CMSY","2.5th","97.5th","rel_F_CMSY","2.5th","97.5th","F_msy","lcl","ucl","curF_msy","lcl","ucl","MSY","lcl","ucl","Bmsy","lcl","ucl","B","lcl","ucl","B_Bmsy","lcl","ucl","F","lcl","ucl","F_Fmsy","lcl","ucl","sel_B","sel_B_Bmsy","sel_F","sel_F_Fmsy","c50","c51","c52","c53","c54","c55","c56","c57","c58","c59","c60","c61","c62","c63","c64","c65","c66","c67","c68","c69","c70","c71","c72","c73","c74","c75","c76","c77","c78","c79","c80","c81","c82","c83","c84","c85","c86","c87","c88","c89","c90","c91","c92","c93","c94","c95","c96","c97","c98","c99","c00","c01","c02","c03","c04","c05","c06","c07","c08","c09","c10","c11","c12","c13","c14","c15","c16","c17","c18","c19","c20","F.Fmsy50","F.Fmsy51","F.Fmsy52","F.Fmsy53","F.Fmsy54","F.Fmsy55","F.Fmsy56","F.Fmsy57","F.Fmsy58","F.Fmsy59","F.Fmsy60","F.Fmsy61","F.Fmsy62","F.Fmsy63","F.Fmsy64","F.Fmsy65","F.Fmsy66","F.Fmsy67","F.Fmsy68","F.Fmsy69","F.Fmsy70","F.Fmsy71","F.Fmsy72","F.Fmsy73","F.Fmsy74","F.Fmsy75","F.Fmsy76","F.Fmsy77","F.Fmsy78","F.Fmsy79","F.Fmsy80","F.Fmsy81","F.Fmsy82","F.Fmsy83","F.Fmsy84","F.Fmsy85","F.Fmsy86","F.Fmsy87","F.Fmsy88","F.Fmsy89","F.Fmsy90","F.Fmsy91","F.Fmsy92","F.Fmsy93","F.Fmsy94","F.Fmsy95","F.Fmsy96","F.Fmsy97","F.Fmsy98","F.Fmsy99","F.Fmsy00","F.Fmsy01","F.Fmsy02","F.Fmsy03","F.Fmsy04","F.Fmsy05","F.Fmsy06","F.Fmsy07","F.Fmsy08","F.Fmsy09","F.Fmsy10","F.Fmsy11","F.Fmsy12","F.Fmsy13","F.Fmsy14","F.Fmsy15","F.Fmsy16","F.Fmsy17","F.Fmsy18","F.Fmsy19","F.Fmsy20","B50","B51","B52","B53","B54","B55","B56","B57","B58","B59","B60","B61","B62","B63","B64","B65","B66","B67","B68","B69","B70","B71","B72","B73","B74","B75","B76","B77","B78","B79","B80","B81","B82","B83","B84","B85","B86","B87","B88","B89","B90","B91","B92","B93","B94","B95","B96","B97","B98","B99","B00","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","B13","B14","B15","B16","B17","B18","B19","B20"
"Fish","Adriatic","Adriatic","Anchovy","Engraulis encrasicolous","ANE_17_18",2000,2020,NA,"CPUE",0.01,0.4,70.71770335,24.944,47.5295457809316,40.8039961041554,61.264118542328,0.525979967015699,0.373276726614179,0.737034074849424,0.021902505895021,363.270536134045,253.901717347673,560.350092379299,0.0335045069845704,-0.878905442150863,-0.0238089735431088,0.00025342491430717,0.000182768980894311,0.000350793444481833,0.245024439808675,0.10880467273064,0.419084203048301,1.25189668489841,0.553754573291345,0.41814967168225,0.743709095355306,359.438856951689,257.482410144339,525.731584072018,49.7818763187574,42.8311051042176,60.7273605989202,0.376436308421724,0.108816397434242,0.497094222096643,0.752519285787503,0.453601259038195,5.77407363789273,0.26298998350785,0.18663836330709,0.368517037424712,0.257755893537214,0.18292384166451,0.36118272261977,47.5295457809316,40.8039961041554,61.264118542328,181.635268067022,126.950858673837,280.175046189649,87.4044515367842,43.8917452375215,153.933686542385,0.490048879617349,0.217609345461281,0.838168406096601,0.314768435570991,0.165543626272327,0.653664507508597,1.25189668489841,0.633106553205686,5.46731239858172,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.22488038,33.77990431,34.54545455,44.11483254,52.91866029,56.55502392,70.71770335,64.40191388,48.89952153,51.38755981,52.34449761,44.11483254,36.45933014,33.77990431,36.45933014,39.5215311,33.97129187,34.92822967,35.6937799,28.03827751,24.944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.969435650488255,0.919494338364863,0.931421366443619,1.03179047630229,1.15081712437064,1.26248185839463,1.38755516418663,1.43248349725932,1.45296787855866,1.48035220000693,1.52315682769949,1.50909842940266,1.45829550364279,1.43376681622371,1.49645673650502,1.56583630314408,1.55774455633115,1.56327222550764,1.53421100730419,1.42016980477787,1.25189668489841,363.270536134045,363.270536134045,363.270536134045,363.270536134045,363.270536134045,363.270536134045,363.270536134045,363.270536134045,363.270536134045,363.270536134045,363.270536134045,363.270536134045,363.270536134045,363.270536134045,363.270536134045,363.270536134045,363.270536134045,363.270536134045,363.270536134045,363.270536134045,363.270536134045,363.270536134045,363.270536134045,363.270536134045,363.270536134045,363.270536134045,363.270536134045,363.270536134045,363.270536134045,363.270536134045,363.270536134045,363.270536134045,363.270536134045,363.270536134045,363.270536134045,363.270536134045,363.270536134045,363.270536134045,363.270536134045,363.270536134045,363.270536134045,363.270536134045,363.270536134045,363.270536134045,363.270536134045,363.270536134045,363.270536134045,363.270536134045,363.270536134045,363.270536134045,138.103668450024,150.087853199774,158.727470118021,163.473421692009,164.984390435379,163.26761673279,161.482361143421,152.94308209416,143.835112657802,133.314564591273,125.115103363425,116.569206974763,109.851884303557,104.817168547186,100.568812621792,95.8519979324603,91.3268852806864,89.6816996694184,87.858664082026,86.0257891963405,87.4044515367842
"Benthic fish & inv.","Mediterranean Sea","North Adriatic Sea","Sepia_officinalis","Sepia officinalis","CTC_17",1974,2020,NA,"CPUE",0.05,0.4,10.70543644,1.56163668,6.37916987016497,5.69499561295388,7.11314107342602,0.502894480853605,0.3659409220105,0.677091120547547,0.0200208334524176,51.0996167353704,38.2103352183897,67.7296261847193,0.0168666285176886,-0.886334406973764,-0.0162874398566794,0.00359728544296872,0.00260075434660628,0.00490265884293149,0.181697241794283,0.103165755479593,0.327172124127896,1.17096139593495,0.378351971969735,0.28695860307347,0.500385417604956,65.2987354554252,50.7368308966565,84.3138683995782,6.19402629848193,5.43418445470078,7.03535780493355,0.306945330889234,0.05153572024274,0.486449911800443,0.54422735005232,0.288643630323515,14.7735672091776,0.251447240426802,0.18297046100525,0.338545560273773,0.182749080169336,0.13298091237793,0.246051178093779,6.37916987016497,5.69499561295388,7.11314107342602,25.5498083676852,19.1051676091949,33.8648130923596,9.31377165949063,4.98550865110192,16.6190688447838,0.363394483588566,0.206331510959186,0.654344248255792,0.212068668544723,0.110142413133376,0.413927121749564,1.17096139593495,0.451295040990133,3.73935817150884,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.579273525,6.558915204,5.655556359,5.28858294,3.705823179,4.579176611,9.442940644,6.667182158,9.489134544,10.70543644,7.386899626,9.233212087,8.23292854,6.533859137,6.737401011,4.886036093,5.054623207,7.132523839,4.8003,4.9164,10.4901,6.3209,4.1083,4.7186,3.9431,3.5938,6.50358227,7.657473772,3.298496526,4.25046917,4.464119358,4.156260071,4.60254854,8.09606679,6.32909107,5.76480201,3.46803477,2.43710319,2.75280606,3.2236204,3.40055914,3.48945026,3.09345287,2.5630749,2.4037354,2.421861894,1.56163668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.754321112390822,0.748623080082839,0.707778768208167,0.629586495466489,0.587897136681225,0.677312884921098,0.831143192017626,0.97565724561153,1.12924076230652,1.27379089822641,1.35493281826745,1.43000319482064,1.47283261659327,1.43057438369238,1.34313546578838,1.24992696885183,1.24007646137871,1.26331773636361,1.2803903832968,1.42517439255437,1.6658294077528,1.6775220405152,1.47599640789291,1.30880877237821,1.21494129257165,1.29026026816676,1.50650366697161,1.60059716839232,1.45277755482539,1.30434075469189,1.27172112153282,1.26946998920744,1.44032729589448,1.77133486977628,1.96124187568096,2.03180354257748,1.87369514407501,1.62024672057913,1.53612152893247,1.59021537883539,1.70985140549115,1.77799348093453,1.78516059348072,1.6937193545064,1.58024398306905,1.40931738698917,1.17096139593495,51.0996167353704,51.0996167353704,51.0996167353704,51.0996167353704,51.0996167353704,51.0996167353704,51.0996167353704,51.0996167353704,51.0996167353704,51.0996167353704,51.0996167353704,51.0996167353704,51.0996167353704,51.0996167353704,51.0996167353704,51.0996167353704,51.0996167353704,51.0996167353704,51.0996167353704,51.0996167353704,51.0996167353704,51.0996167353704,51.0996167353704,51.0996167353704,31.2387904804406,31.4758564096443,31.678095785812,32.080064717021,32.9998968896409,33.9929050311423,34.0148233744863,32.7628724766563,30.7849286128071,28.1761455315913,25.5179725479931,23.2912267977566,21.2428117491607,19.5711132437811,18.4865566106216,18.1091920231863,18.1876377466459,18.3260164187951,18.357959081606,18.1937880206285,17.4360194692613,15.737476399243,14.4297242469423,14.1136841523169,14.4358450114803,15.0341047404872,15.2786407535564,14.6606598085969,13.8464564863001,13.6954673926102,14.077886717074,14.4822730569286,15.1071116107423,14.9347245787084,13.2974945538775,11.5799111470136,10.1716483221007,9.69339180216089,9.76953972951275,9.93006186736717,9.98639631248692,9.69074740783046,9.32486893810952,8.97656810582634,8.87587137422143,8.96134133060059,9.31377165949063
"Crustacean","Adriatic","Adriatic","Pink shrimp","Parapenaeus longirostris","DPS_17_18_19",2002,2020,NA,"CPUE",0.2,0.6,6.056,5.009,5.1607817578994,3.96748683797206,6.42483398155737,1.14095090796436,0.859708511309515,1.37522589001027,0.0285160333104342,18.086352306526,14.5737428497156,24.2255369529637,0.0275059916334375,-0.696425337884384,-0.0195044080193685,0.000922677193443586,0.000685933728299707,0.00114386099135153,0.486695493201034,0.35609381438923,0.637733051198903,1.08623200452391,0.998688419405478,0.726541715854552,1.40018309065732,19.3260856979657,14.4263078878541,27.5647517953695,4.83955920884028,3.87003041373847,6.47243629032172,0.537627909720347,0.363056413513494,0.692150428391451,1.04458192371268,0.573718739500767,1.95587003571988,0.570475453982182,0.429854255654758,0.687612945005137,0.570475453982182,0.429854255654758,0.687612945005137,5.1607817578994,3.96748683797206,6.42483398155737,9.04317615326299,7.28687142485781,12.1127684764819,8.80425078995181,6.215623311708,13.3816156343461,0.973390986402067,0.712187628778459,1.27546610239781,0.613074438277334,0.366624787479426,0.976956808747712,1.08623200452391,0.651192491934935,1.78502957192444,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.322,3.274,3.123,2.478,2.814,1.787,1.857,2.281,2.156,1.938,2.452,2.712,3.108,3.441,4.485,4.801,6.056,5.804,5.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.50485015198431,1.55291891201592,1.61570482861326,1.65224567711203,1.69328472040138,1.60478574583799,1.54152645752634,1.53790415932635,1.5052884957629,1.42234825943767,1.32865763969134,1.17781349709093,0.997892869076293,0.858398288987365,0.806784105556855,0.847839099349712,0.945716025461406,1.04310582172743,1.08623200452391,18.086352306526,18.086352306526,18.086352306526,18.086352306526,18.086352306526,18.086352306526,18.086352306526,18.086352306526,18.086352306526,18.086352306526,18.086352306526,18.086352306526,18.086352306526,18.086352306526,18.086352306526,18.086352306526,18.086352306526,18.086352306526,18.086352306526,18.086352306526,18.086352306526,18.086352306526,18.086352306526,18.086352306526,18.086352306526,18.086352306526,18.086352306526,18.086352306526,18.086352306526,18.086352306526,18.086352306526,18.086352306526,18.086352306526,18.086352306526,18.086352306526,18.086352306526,18.086352306526,18.086352306526,18.086352306526,18.086352306526,18.086352306526,18.086352306526,18.086352306526,18.086352306526,18.086352306526,18.086352306526,18.086352306526,18.086352306526,18.086352306526,18.086352306526,18.086352306526,18.086352306526,3.80776993360424,3.9423915585253,3.90712279676201,3.74093805109893,3.53560709271282,3.28944616349019,3.31530424398468,3.37129088735165,3.40621409622839,3.47349092008475,3.76531408399741,4.21556801358968,5.08846502657168,6.66019855302409,8.93261831117228,10.423903284311,10.3294104199251,9.77815562457853,8.80425078995181
"Fish","Adriatic","Adriatic","Hake","Merluccius merluccius","HKE_17_18",1998,2020,NA,"CPUE",0.01,0.4,10.832,4.841,8.39200792259795,7.27505891413782,9.85866804884316,0.628498257626742,0.459449558541924,0.858878361907773,0.0217400926652381,53.3028360065709,37.6991787451032,75.1259490694359,0.0325014294498521,-0.878373367632994,-0.0233486129530592,0.00159073038385869,0.00114625713015611,0.00220064345541131,0.420197288782293,0.327408697736455,0.503014313282698,0.734661280086418,0.520581134906114,0.386657381859463,0.69373243576186,60.7941821472518,43.8447013237711,88.4229932766769,7.90852035215222,6.79190416633147,9.54984437199617,0.358304706828758,0.105582181490476,0.488320382194715,0.940810269284758,0.549228428629733,7.49385370889192,0.314249128813371,0.229724779270962,0.429439180953887,0.314249128813371,0.229724779270962,0.429439180953887,8.39200792259795,7.27505891413782,9.85866804884316,26.6514180032855,18.8495893725516,37.562974534718,22.2837668565561,15.4530318048979,31.9044788527483,0.840394577564586,0.654817395472909,1.0060286265654,0.232131914518117,0.145519551994125,0.366506637884009,0.734661280086418,0.512880843880931,1.06836548155565,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.441,6.666,6.268,6.206,5.442,7.322,7.336,8.772,10.832,8.959,8.312,7.998,6.923,6.416,6.818,6.753,5.493,5.817,5.764,6.033,6.091,5.355,4.841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56414030994468,1.51748775194721,1.37372737681981,1.18966453834465,1.10694322330978,1.06534507178317,1.06668288735984,1.15898874880362,1.29782532724119,1.3664149340896,1.46179230283404,1.55524768826229,1.50108649596083,1.39573225709189,1.36526337870609,1.35267442525443,1.30960426646181,1.19742349304695,1.08218754277916,1.03988332066614,0.970271997149218,0.869601834125135,0.734661280086418,53.3028360065709,53.3028360065709,53.3028360065709,53.3028360065709,53.3028360065709,53.3028360065709,53.3028360065709,53.3028360065709,53.3028360065709,53.3028360065709,53.3028360065709,53.3028360065709,53.3028360065709,53.3028360065709,53.3028360065709,53.3028360065709,53.3028360065709,53.3028360065709,53.3028360065709,53.3028360065709,53.3028360065709,53.3028360065709,53.3028360065709,53.3028360065709,53.3028360065709,53.3028360065709,53.3028360065709,53.3028360065709,53.3028360065709,53.3028360065709,53.3028360065709,53.3028360065709,53.3028360065709,53.3028360065709,53.3028360065709,53.3028360065709,53.3028360065709,53.3028360065709,53.3028360065709,53.3028360065709,53.3028360065709,53.3028360065709,53.3028360065709,53.3028360065709,53.3028360065709,53.3028360065709,53.3028360065709,53.3028360065709,15.6727889616313,15.075173176616,14.6163746964658,15.1843632345528,17.0874693980339,18.9809002225806,21.1496175973772,23.0251462591367,23.1182468313428,21.6430600246169,20.0382059709981,17.8860253118044,15.8426989764393,15.0666339539868,15.3562384253327,15.6116196449448,15.561684018827,15.563208275501,16.6401231413176,18.5151495923224,19.8262127412949,20.9962817053142,22.2837668565561
"Crustacean","Adriatic","Adriatic","Mantis shrimp","Squilla mantis","MTS_17",1953,2020,NA,"CPUE",0.01,0.4,4.98601326,2.37,3.67480510561546,3.33383553586209,4.08125527395276,0.6392138436655,0.456997865677481,0.861527300242618,0.0243459947684727,23.0175260610486,17.2811630278121,31.486376000289,0.019826141666177,-0.917567324086316,-0.0201590844419814,0.00196942459672356,0.00135607821336455,0.00288268294159966,0.403277119651194,0.245913651190059,0.506258009627396,0.8742621462876,0.466464373778046,0.345516108235079,0.633997243835577,30.9429853279938,23.3534401863518,40.6035427314533,3.60309398397986,3.18769368436675,4.08858288936164,0.355517950428671,0.112452218152681,0.488781505229451,1.01924810650136,0.622597026364927,7.37744736866853,0.31960692183275,0.228498932838741,0.430763650121309,0.31960692183275,0.228498932838741,0.430763650121309,3.67480510561546,3.33383553586209,4.08125527395276,11.5087630305243,8.64058151390607,15.7431880001445,9.15706878467633,5.40345479815075,13.406670963216,0.806554239302387,0.491827302380119,1.01251601925479,0.279802973878189,0.171171294313186,0.510454062945231,0.8742621462876,0.57734632902652,1.62936692567581,NA,NA,NA,NA,0,0,0,0.695032,0.5928,0.6203,0.4598,0.9568,1.577156,1.900761,1.608443,1.806364,1.747599,0.921024,1.462558,2.006854,1.920257,1.971835,2.164823,1.950026,3.0752,3.221,3.80816,2.64544,1.888583,2.729,3.508,3.115,2.576,2.606,2.296,2.8247,2.3425,2.8221,3.4595,3.2791,2.8282,2.4596,1.8702,2.4907,2.3115,2.7674,3.5627,2.6552,2.9076,3.2945,3.8837,3.2927,2.5622,3.5291,3.8416,4.1358,4.1828,3.5665,4.98601326,3.93831977,4.15889229,4.57423735,4.07291495,4.58006558,4.6734257,3.87937803,3.1461659,2.25440691,2.95539771,3.3348796,3.39129766,3.11340666,3.30022555,2.575,2.37,0,0,0,0.221056185975481,0.161669260819764,0.127639044248566,0.127833567618582,0.166530396596804,0.220475549802085,0.257953678646356,0.270285607251378,0.264052531810591,0.242205540070266,0.220294909051516,0.235358666342975,0.274987670404536,0.302784885250766,0.319988688357322,0.342276866606451,0.388010551232387,0.469902739978476,0.547479722360487,0.573681060629514,0.520821816781387,0.474176247478277,0.501866273242373,0.555614657725249,0.559063622691455,0.520113113738585,0.482390434542354,0.468241450683111,0.467431725331052,0.482143779758995,0.521236228771809,0.570472970248728,0.579500071786355,0.537369927975145,0.467177677355723,0.420789094729976,0.417182277543366,0.447162649648774,0.497331857333146,0.53919589125114,0.553321167660165,0.571361199059167,0.629703458531862,0.66950414389522,0.659902283531094,0.643344992057481,0.694270000690266,0.785586979747117,0.873838556781599,0.936713810502665,1.01866326536291,1.13112012920518,1.21496381553476,1.27554099035619,1.29726213172064,1.34598570761059,1.4208949164942,1.48534434049807,1.45523431002201,1.30642008130015,1.16489169343206,1.14475718531739,1.2123922155598,1.23985064380145,1.21533857295374,1.13576665337052,1.0154909662058,0.8742621462876,23.0175260610486,23.0175260610486,23.0175260610486,9.19474696747931,12.0256365287267,15.00266281754,17.5344570101011,19.2828758861626,20.1297721664449,20.1660720548966,19.9695860846527,19.885728922868,19.9005406315846,20.0292814376323,20.2965723548654,20.1824108657647,19.9312017480122,19.6335625757937,19.3466192670798,19.1357601818734,18.8013956461201,18.0589179902685,17.3299072443414,16.7877040387408,16.8784761147144,17.0733800856425,17.0542600512536,16.7592760173136,16.5641284867531,16.7111345256083,16.9708314385155,17.2667779529061,17.3728885454172,17.3833920740212,17.1253515986778,16.7533214787899,16.4596166874269,16.5749518926152,17.0022651243142,17.4280579272987,17.7645404532289,17.7063981570884,17.4303719343888,17.0081935428155,16.766834437374,16.4607130218264,16.0547074517807,15.6349725551615,15.4107787912463,15.393184790896,15.0980729888754,14.496107638434,13.790061083185,13.0010071458283,12.1727056741126,11.2305365749173,10.3727199789024,9.75208208253886,9.43631503176726,9.10393149939714,8.60126573477827,8.03781433679436,7.65552033923829,7.76024618696093,8.14255086804902,8.43293270873187,8.47223807415388,8.41428488165795,8.43681390401948,8.68005188933479,9.15706878467633
"Fish","Adriatic","Adriatic","Red mullet","Mullus barbatus","MUT_17_18",2006,2020,NA,"CPUE",0.01,0.4,7.355,3.055,6.66293611435683,5.67030102688384,8.69642928785907,0.834274703869613,0.593389168304051,1.07667107783122,0.0219351798013712,32.2831424632234,23.5117012853029,47.9949303212526,0.0307169162543699,-0.836265523849326,-0.0217071895681707,0.00417757350943709,0.00278719641266915,0.00601432472809174,0.436038694510168,0.295005362425047,0.550704141910105,0.689662741416344,0.700210854854302,0.523067838821259,0.93282090737194,35.9335976149547,26.1405216435957,51.4908046567855,6.30516947915434,5.36897039278416,7.7641582547471,0.350538450153212,0.149692227307878,0.484808406145855,0.930361202331181,0.543860674835894,3.79450603921238,0.417137351934806,0.296694584152026,0.538335538915608,0.417137351934806,0.296694584152026,0.538335538915608,6.66293611435683,5.67030102688384,8.69642928785907,16.1415712316117,11.7558506426514,23.9974651606263,14.056417639766,8.84613468985121,21.672747399436,0.872077389020336,0.590010724850094,1.10140828382021,0.285694343522803,0.168847433822521,0.497987741921689,0.689662741416344,0.421760652172148,1.15188340470677,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.094,7.355,6.182,5.34,3.85,4.74,6.068,5.055,5.773,6.383,5.488,5.814,6.928,4.472,3.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53110182306485,1.56307685142879,1.54296717169656,1.41306481395617,1.250815533762,1.16376978507101,1.13521835905987,1.10488995347378,1.10243370804211,1.08760895669695,1.08200683400796,1.10306580510442,1.09203114366046,0.938752260052555,0.689662741416344,32.2831424632234,32.2831424632234,32.2831424632234,32.2831424632234,32.2831424632234,32.2831424632234,32.2831424632234,32.2831424632234,32.2831424632234,32.2831424632234,32.2831424632234,32.2831424632234,32.2831424632234,32.2831424632234,32.2831424632234,32.2831424632234,32.2831424632234,32.2831424632234,32.2831424632234,32.2831424632234,32.2831424632234,32.2831424632234,32.2831424632234,32.2831424632234,32.2831424632234,32.2831424632234,32.2831424632234,32.2831424632234,32.2831424632234,32.2831424632234,32.2831424632234,32.2831424632234,32.2831424632234,32.2831424632234,32.2831424632234,32.2831424632234,32.2831424632234,32.2831424632234,32.2831424632234,32.2831424632234,32.2831424632234,32.2831424632234,32.2831424632234,32.2831424632234,32.2831424632234,32.2831424632234,32.2831424632234,32.2831424632234,32.2831424632234,32.2831424632234,32.2831424632234,32.2831424632234,32.2831424632234,32.2831424632234,32.2831424632234,32.2831424632234,10.5200500470579,9.6907344652232,9.13754230982086,8.77343748441449,9.01615536806552,9.82383335406157,10.9661194782821,11.9362890795553,12.7494245538432,13.2002173416691,13.5653236413974,13.7587863106827,13.6067005817694,13.4463751616411,14.056417639766
"Fish","Adriatic","Adriatic","Sardine","Sardina pilchardus","PIL_17_18",2000,2020,NA,"CPUE",0.01,0.4,83.31983806,61.605,60.3824720350945,50.2786535049012,71.5545521349558,0.566509269059703,0.412086273433995,0.774641315049435,0.0332129298227921,422.977964598324,320.282314360198,583.931486442248,0.0276043172563365,-0.854236554780809,-0.0258654626497213,7.13573916695164e-05,4.93567840356973e-05,0.000100204651084471,0.274657673210944,0.168180597293822,0.434118348773276,1.93771710877096,0.542225944944011,0.381477174602299,0.773944731435092,432.617735599329,322.071830895704,618.098803819529,59.2452806768994,48.6986226939281,71.3751987647576,0.367342871995772,0.186970332406383,0.487968121476776,1.49068124609895,0.887122489094045,4.39079335211226,0.283254634529851,0.206043136716998,0.387320657524718,0.283254634529851,0.206043136716998,0.387320657524718,60.3824720350945,50.2786535049012,71.5545521349558,211.488982299162,160.141157180099,291.965743221124,114.791018753972,73.8186049621213,203.707258395765,0.549315346421889,0.336361194587645,0.868236697546552,0.547395605139612,0.290849155075531,0.963519686894353,1.93771710877096,1.04644935526359,5.03371467680253,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.61133603,25.02024291,28.90688259,26.47773279,27.44939271,21.13360324,21.13360324,21.94331984,28.09716599,34.41295547,35.70850202,55.1417004,60.32388664,82.0242915,83.31983806,78.13765182,79.75708502,69.55465587,69.23076923,64.69635628,61.605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46014847883994,1.39765936689525,1.34098033487076,1.25021798742922,1.06597920459056,0.822276055432233,0.640162185432314,0.561435170878139,0.546329146475927,0.561643881987337,0.603136588826003,0.703288753469316,0.839088771603971,1.00517600407302,1.18877340454935,1.3655414514737,1.46654870888351,1.55905205678168,1.64920703819727,1.75207701580565,1.93771710877096,422.977964598324,422.977964598324,422.977964598324,422.977964598324,422.977964598324,422.977964598324,422.977964598324,422.977964598324,422.977964598324,422.977964598324,422.977964598324,422.977964598324,422.977964598324,422.977964598324,422.977964598324,422.977964598324,422.977964598324,422.977964598324,422.977964598324,422.977964598324,422.977964598324,422.977964598324,422.977964598324,422.977964598324,422.977964598324,422.977964598324,422.977964598324,422.977964598324,422.977964598324,422.977964598324,422.977964598324,422.977964598324,422.977964598324,422.977964598324,422.977964598324,422.977964598324,422.977964598324,422.977964598324,422.977964598324,422.977964598324,422.977964598324,422.977964598324,422.977964598324,422.977964598324,422.977964598324,422.977964598324,422.977964598324,422.977964598324,422.977964598324,422.977964598324,83.5481687464587,85.7299579568087,89.3735935997534,93.0048370833275,97.465992235455,107.370921790875,126.345656789939,153.889183262163,185.045694678847,215.577663650229,242.006129515163,262.254326944529,265.686272594289,260.162064272756,241.045367242763,215.331728856319,187.416873200357,165.080019531839,146.773177350052,129.976875143918,114.791018753972
